Domain	Prof	Title	Description	Requirments
אינטרנט	QA Web	מנהל/ת מוצר Product manager	"תיאור
לחברת אינטרנט מובילה בתחומה דרוש/ה מנהל/ת מוצר Web בעל/ת הבנה מעמיקה בחווית משתמש, עבודה בסביבה דינמית עם צוות און לין.
התפקיד כולל ניהול מוצר האון ליין של החברה, ניהול מחזור חיי מוצר על כל שלביו: תכנון והגדרת דרישות, בדיקות, ניהול סיכונים, ניהול לו""ז, ניהול שירות לקוחות, תוכן, נתוני מחקר וכו’.
העבודה במשרה מלאה
ימים א’-ה’
9:00-18:00
באור יהודה."	"דרישות
מעל/ת שנתיים ניסיון בניהול מוצר Web
ניסיון וידע מעמיק בעולמות ה-UI / UX.
ניסיון בכתיבת אפיוני HLD
ניסיון בעבודה בסביבת AGILE
תואר בהנדסה תעשייה וניהול / מדעי המחשב -יתרון."
אינטרנט	QA Web	דרוש/ה מפתח Full stack Web	"תיאור
לחברה איכותית ומובילה בתחומה דרוש/ה מפתח Full stack Web.
עבודה במשרה מלאה בימים א’-ה’ בין השעות 9-18 ללא שעות נוספות.
עבודה באזור בקעת אונו (נגישות לכל איזור המרכז)."	"דרישות
דרישות התפקיד:
ניסיון של שנתיים ומעלה בפיתוח Web - חובה
ניסיון של שנתיים ומעלה ב: javascript, Css, Html5, JQuery - חובה
ניסיון של שנתיים ומעלה ב: PHP , MS-SQL/mySQL.
ניסיון בפיתוח Classic ASP / VBScript - יתרון."
אינטרנט	QA Web	תוכניתן/נית javascript / front-end	"תיאור
לחברת אינטרנט מובילה דרוש/ה תוכניתן/נית Front End
לפיתוח מערכות Javascript.
עבודה במשרה מלאה בימים א’-ה’ בין השעות 9-18 ללא שעות נוספות.
עבודה באזור בקעת אונו (נגישות לכל איזור המרכז)."	"דרישות
ניסיון של שנתיים ומעלה בפיתוח ב- Javascript, Jquery חובה.
ניסיון של שנה ומעלה ב-Html5, CSS.
ידע בפיתוח Chrome Apps - יתרון."
אינטרנט	QA Web	דרוש/ה בודק/ת תוכנה	"תיאור
ללקוחותינו במרכז דרוש/ה בודק/ת תוכנה"	"דרישות
ניסיון של 3 שנים לפחות בבדיקות תוכנה- חובה
ניסיון עבודה מחברות גלובליות – חובה
ידע חזק במתודולוגיות, תהליכים וכלים של QA - חובה
ניסיון מעשי בהתקנות וקונפיגורציה בסביבת windows – חובה
אנגלית ברמה גבוהה - חובה
ניסיון בכתיבת סקריפטים – יתרון"
אינטרנט	QA Web	דרוש/ה בודק/ת תוכנה	"תיאור
ללקוחותינו במרכז דרוש/ה בודק/ת תוכנה יחיד/ה בצוות פיתוח"	"דרישות
ניסיון של 3 שנים לפחות בבדיקות תוכנה – חובה
ניסיון בביצוע בדיקות תוכנה על מערכות ליבה בארגון – חובה
ניסיון ב-SQL כולל כתיבת שאילתות – חובה
ניסיון בכלי בדיקות REST ו-SOAP כגון: SoapUI, Postman
ניסיון בעבודה עם Excel ובניית גיליונות המורכבים מפונקציות – חובה"
אינטרנט	QA Web	QA Web&Mobile	"תיאור
לחברה מצליחה, המפתחת מוצר מוביל בתחום שיתוף וידאו ותמונות בפלטפורמות WEB ו-Mobile, דרוש /ה דרוש/ה מהנדס/ת QA מוכשר/ת"	"דרישות
תואר ראשון במדעי המחשב/הנדסת תוכנה - יתרון
לפחות 3 שנות ניסיון בבדיקות תוכנה
ניסיון בבדיקות Web ו Mobile
בדיקות אפליקציות IOS ו Android
SDLC / Agile/ waterfall
אנגלית ברמה גבוהה"
אינטרנט	QA Web	Senior Automation Engineer	"תיאור
We are looking for a Senior Automation Engineer who will be responsible for architecting, designing and implementing automation solution end to end.
In addition, the Senior Automation Engineer will be in charge of mentoring team members – keeping them up-to-date on technology and the project on track."	"דרישות
B.Sc. in Computer Sciences/Computer Engineering/Mathematics or equivalent – an advantage
At least 3 years relevant work experience
Proven #C or java programming experience.
Proven experience with Selenium
Experience with automation tools such as Jenkins, Ansible, etc.
Experience in design and development using Object Oriented design patterns
Ability to work in fast-paced, dynamic environment
Experience in design, infrastructure development or automation development for distributed system"
אינטרנט	QA Web	"לחברת אבטחת מידע בירושלים דרוש/ה QA ידני ,"	"תיאור
לחברת אבטחת מידע בירושלים דרוש/ה QA ידני ,
התפקיד כולל:
בדיקות של מוצרים בתחום אבטחת מידע ו SYSTEM .
הקמת סביבות מורכבות ובדיקות של תצורות עבודה שונות בשחרור גרסאות מוצר פיתוח.
פתרון בעיות אפליקטיביות ובעיות סביבה, תקשורת ורשתות"	"דרישות
* ניסיון בתחום הבדיקות-חובה
או
*בוגר קורס בדיקות עם רקע בסיסטם.
*יתרון : היכרות עם נושאי סיסטם ותקשורת"
אינטרנט	QA Web	חברת הייטק גלובלית מגייסת מפתח/ת אוטומציה ב Python	"תיאור
לחברה הפועלת בעולמות המדיקל דיוויס באזור השפלה דרוש/ה מפתח/ת אוטומציה ב PYTHON .
התפקיד כולל השתלבות בצוות , וכולל פיתוח תשתיות אוטומציה, כלים ומעט הרצת בדיקות אוטומטיות.
הזדמנות ייחודית להשתלב בחברה בחזית הטכנולוגית שהמוצר שלה מתקשר לתקופה הזאת במיוחד."	"דרישות
*ניסיון של 4 שנים לפחות בפיתוח אוטומציה ב PYTHON – חובה
*ניסיון באוטומציה למוצר משולב חומרה-תוכנה-חובה
*ניסיון בהקמת תשתיות אוטומציה- יתרון
*תואר ראשון רלוונטי יתרון"
אינטרנט	QA Web	חברה מדהימה וידועה בתחום התחבורה בנס ציונה מגייסת Android QA	"תיאור
אנחנו ממוקמים במקום הראשון בעולם בתחום הניווט והנגישות בתחבורה וממשיכים לגייס ולהרחיב את הצוותים שלנו כל הזמן.
בימים אלו, נשמח לפגוש QA Mobile עם נסיון בבדיקות לAndroid.
מספר המשתמשים במוצר החברה הוא עצום, פועלים בכ100 מדינות. משתמשים בטכנולוגיות Big Data.
בארץ, מונים 120 עובדים ויושבים בנס ציונה קו רכבת.
הצטרף/י למעצמה שלנו!"	"דרישות
נסיון של שנתיים בבדיקות Mobile - אפליקציית Android"
